"Date","Day","Time","Base / Overnight","Location / Area","Transport","Plan","Remarks","Must Book / Check","Estimated Cost Low (EUR)","Estimated Cost High (EUR)","Actual Cost (EUR)","Cost Category","Payment / Receipt Notes","Status"
"2026-06-07","Day 9","08:00","Sibenik/Zadar region","Rovinj","Campervan","Early departure toward Plitvice.","This date is a schedule conflict in the itinerary; follow campsite schedule, not the extra Pula day.","Checkout; snacks/water","0","20","","Groceries","","Planned"
"2026-06-07","Day 9","Late morning/afternoon","Sibenik/Zadar region","Plitvice Lakes","Campervan + walking","Visit Plitvice Lakes for a 4-5 hour route.","No kayaking, swimming, or drones in the national park.","Timed Plitvice tickets","40","80","","National park","","Planned"
"2026-06-07","Day 9","Late afternoon","Sibenik/Zadar region","Plitvice to Sibenik","Campervan","Continue to Sibenik/Zadar campsite.","Long day: park visit plus campervan move.","Fuel and tolls","75","95","","Fuel + tolls","","Planned"
"2026-06-07","Day 9","Evening","Sibenik/Zadar region","Sibenik campsite","Campervan","Setup campsite, quick groceries, relaxed dinner.","Do not over-plan the evening.","Solaris or nearby campsite","55","75","","Camping + food","","Planned"
"2026-06-08","Day 10","08:00-12:00","Sibenik/Zadar region","Krka National Park","Car: ~40 km round trip","Visit Skradinski Buk and boardwalks; enjoy the boardwalks.","Different feel from Plitvice; swimming is now prohibited.","Krka tickets; photography spots","30","60","","National park","","Planned"
"2026-06-08","Day 10","12:30-14:30","Sibenik/Zadar region","Sibenik old town","Car/walk","Lunch and see St. James Cathedral, medieval streets, fort views if time.","Less touristy than Split/Dubrovnik.","Parking","20","40","","Food + parking","","Planned"
"2026-06-08","Day 10","15:00-18:30","Sibenik/Zadar region","Zadar","Car: ~50 km each way","Sea Organ, Greeting to the Sun, Roman Forum, St. Donatus.","Packed afternoon; drop Zadar if tired.","Parking; sunset timing","10","25","","Parking/attraction","","Planned"
"2026-06-08","Day 10","Evening","Sibenik/Zadar region","Campsite","Car/local","Return to campsite around 19:00-20:00.","Rest after packed national park/city day.","Camping second night","60","85","","Camping + food","","Planned"
"2026-06-09","Day 11","Morning","Split area","Sibenik to Split","Campervan: ~90 km","Move to Split area and setup at Camping Stobrec or alternative.","Check minimum-stay rules at Stobrec.","Split campsite","55","75","","Fuel + camping","","Planned"
"2026-06-09","Day 11","Afternoon","Split area","Split old town","Bike/bus","Explore Diocletian's Palace, Peristyle, cellars, Riva, Green Market.","Bike from campsite can avoid parking hassles.","Cellars ticket if visiting","16","30","","Attraction/transport","","Planned"
"2026-06-09","Day 11","Late afternoon","Split area","Marjan/Riva","Bike/walk","Optional Marjan Hill viewpoint or Riva promenade.","Keep flexible depending on heat and energy.","Bike locks","0","0","","Cycling/walking","","Planned"
"2026-06-09","Day 11","Evening","Split area","Campsite or Split","Local","Dinner and ferry planning for Brac.","Buy ferry ticket or confirm morning queue plan.","Ferry schedule","40","65","","Food","","Planned"
"2026-06-10","Day 12","08:00-09:30","Split area","Split to Supetar ferry","Ferry + car","Take ferry to Brac Island.","Arrive early for car ferry queue.","Split-Supetar ferry ticket","42","56","","Ferry","","Planned"
"2026-06-10","Day 12","10:30-13:00","Split area","Bol / Zlatni Rat","Car + beach/kayak","Zlatni Rat beach, swim, and kayak around Bol area.","Pebble beach; water shoes useful.","Weather/wind check","0","40","","Beach/kayaking","","Planned"
"2026-06-10","Day 12","13:00-14:00","Split area","Bol","Walk","Lunch in Bol.","Tourist prices near beach.","Restaurant choice","35","60","","Food","","Planned"
"2026-06-10","Day 12","14:30-15:30","Split area","Vidova Gora","Car","Drive to Vidova Gora viewpoint for Zlatni Rat photos.","Road can be narrow; take it slow.","Fuel/parking","10","20","","Fuel/parking","","Planned"
"2026-06-10","Day 12","18:00-19:00","Split area","Supetar to Split ferry","Ferry + car","Return ferry and back to campsite.","Check last practical ferry time.","Return ferry","42","56","","Ferry","","Planned"
"2026-06-10","Day 12","Evening","Split area","Campsite","Local","Second Split night.","Rest after island day.","Camping second night","55","75","","Camping + food","","Planned"
"2026-06-11","Day 13","09:00-13:00","Split area","Trogir","Car: ~60 km round trip","Visit UNESCO Trogir old town, cathedral, Kamerlengo Fortress.","Close and worthwhile, less crowded than Split.","Tower/fortress tickets","20","35","","Attraction + parking","","Planned"
"2026-06-11","Day 13","14:00-18:00","Split area","Split/Stobrec","Local/bike","Choose beach/pool day, Marjan bike ride, or more Split city time.","Recommended recovery afternoon before Dubrovnik.","Campsite facilities","0","30","","Optional activity","","Planned"
"2026-06-11","Day 13","Evening","Split area","Campsite","Local","Pack for Dubrovnik and early night.","Big drive and expensive city next.","Camping third night","60","85","","Camping + food","","Planned"
"2026-06-12","Day 14","Morning","Dubrovnik","Split to Dubrovnik","Campervan: ~230 km","Drive toward Dubrovnik via highway/Neum or scenic coast.","Carry passports if using Neum corridor.","Route choice; passports","60","85","","Fuel + tolls","","Planned"
"2026-06-12","Day 14","Afternoon","Dubrovnik","Dubrovnik campsite","Campervan","Setup at Camping Solitudo or Camping Adriatic.","Most expensive camping segment.","Dubrovnik campsite","40","50","","Camping","","Planned"
"2026-06-12","Day 14","15:00-18:00","Dubrovnik","Old town","Bike/bus","Orientation walk: Pile Gate, Stradun, old town lanes, sunset viewpoints.","Bike from campsite saves bus tickets and parking hassle.","Bike parking or bus tickets","6","15","","Local transport","","Planned"
"2026-06-12","Day 14","Evening","Dubrovnik","Old town or campsite","Walk/bike/bus","Dinner in Dubrovnik or cheaper campsite meal.","Dubrovnik food can be 30-50% higher than rest of Croatia.","Restaurant choice","50","90","","Food","","Planned"
"2026-06-13","Day 15","07:30-10:00","Dubrovnik","City walls","Bike/bus + walk","Arrive for 08:00 city walls walk.","Top Dubrovnik highlight; go early for heat and crowds.","City walls tickets","70","70","","Attraction","","Planned"
"2026-06-13","Day 15","10:00-12:30","Dubrovnik","Old town","Walk","Explore Stradun, Onofrio Fountain, Rector's Palace, Sponza Palace, monastery.","Choose paid interiors selectively.","Museum/palace tickets if wanted","0","35","","Attraction","","Planned"
"2026-06-13","Day 15","12:30-14:00","Dubrovnik","Old town or campsite","Bike/bus/walk","Lunch break.","Return to campsite to save money and cool down if needed.","Lunch plan","25","60","","Food","","Planned"
"2026-06-13","Day 15","14:00-16:00","Dubrovnik","Mt. Srd","Cable car or hike","Cable car to Mt. Srd panorama, or hike if saving money.","Iconic Dubrovnik photo; avoid flying drone in old town.","Cable car tickets","0","60","","Attraction","","Planned"
"2026-06-13","Day 15","16:00-19:00","Dubrovnik","Lokrum / sea kayak / Banje","Ferry/kayak/walk","Choose one: Lokrum Island, sea kayaking around walls, or beach afternoon.","Time is limited; do not try all three.","Lokrum ferry or kayak tour","0","120","","Optional activity","","Planned"
"2026-06-13","Day 15","Evening","Dubrovnik","Old town","Walk/bike/bus","Final Dubrovnik dinner and evening stroll.","Splurge night if desired.","Restaurant booking if needed","70","120","","Food","","Planned"
"2026-06-13","Day 15","Night","Dubrovnik","Campsite","Local","Pack for return drive.","Depart next morning; avoid late night.","Camping second night","40","50","","Camping","","Planned"
"2026-06-14","Day 16","07:00-09:00","Slovenia/Austria border area","Dubrovnik/Banje","Local","Optional quick swim, breakfast, and pack up.","Only if it does not delay departure.","Checkout time","0","15","","Food","","Planned"
"2026-06-14","Day 16","09:00-18:30","Slovenia/Austria border area","Dubrovnik to Slovenia/Austria","Campervan: ~800 km","Drive north with planned rest breaks.","Safety day; do not attempt full Netherlands return.","Fuel stops; toll budget","180","230","","Fuel + tolls","","Planned"
"2026-06-14","Day 16","Lunch/dinner","Slovenia/Austria border area","Route stops","Campervan","Lunch, coffee, and dinner breaks on route.","Keep breaks regular when towing.","Rest areas","35","55","","Food","","Planned"
"2026-06-14","Day 16","Evening","Slovenia/Austria border area","Ljubljana/Villach campsite","Campervan","Setup return campsite and sleep.","Book ahead or keep flexible options.","Return campsite","30","40","","Camping","","Planned"
"2026-06-15","Day 17","08:00","Netherlands","Return campsite","Campervan","Depart for Netherlands.","Start early for realistic 19:00-20:00 arrival.","Traffic check","0","0","","Admin","","Planned"
"2026-06-15","Day 17","Daytime","Netherlands","Austria/Germany route","Campervan: ~950 km","Final long drive with breaks through Austria and Germany.","Use low-stress pacing with towing.","Fuel stops","200","260","","Fuel","","Planned"
"2026-06-15","Day 17","Lunch/rest stops","Netherlands","Germany route","Campervan","Lunch and coffee/rest breaks.","Final rest/fuel stop before Netherlands.","Rest areas","35","55","","Food","","Planned"
"2026-06-15","Day 17","19:00-20:00","Netherlands","Home","Campervan","Arrive home and unpack gradually.","Trip complete.","Final odometer/photo receipts","0","0","","Admin","","Planned"
"TOTAL","","","","","","Estimated total from activity rows.","Actual total sums the Actual Cost column. Avoid entering actual costs on this TOTAL row.","","2760","3570","=SUM(L2:L76)","Summary","",""
"BUDGET REFERENCE","","","","","","Source itinerary total budget estimate.","Use this as the higher-level comparison range.","","2935","3670","","Reference","",""
"EXPENSE LOG","","","","","","Add ad-hoc expenses below or insert rows above TOTAL.","If inserting rows above TOTAL, update formula range if Google Sheets does not expand it automatically.","","","","","","",""
"Expense date","Expense item","Location","Category","Estimated EUR","Actual EUR","Payment method","Receipt/photo","Notes","","","","","","Status"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
